program_id;program_name;raiku_category;subcategory;raiku_product;tx_count_30d;success_count_30d;total_fees_sol_30d;priority_fees_sol_30d;total_cu_30d;avg_cu_consumed_30d;median_priority_fee_per_cu_30d;avg_priority_fee_per_cu_30d;p25_priority_fee_per_cu_30d;p75_priority_fee_per_cu_30d;priority_48h_lamports;jito_tip_48h_lamports;total_48h_lamports;jito_share_of_total_48h;jito_share_of_priority_jito_48h;est_jito_tips_sol_30d;est_total_mev_fees_sol_30d;has_30d_data;has_48h_jito_data
11111111111111111111111111111111;System Program;system;core;neither;461951427;310498533;75901.7255;75901.7255;25019225965311;54160;3.8621;13.2212;0.1549;9.6714;41663026;14921440;118954434;12.54;26.37;27183.600454;103085.325954;yes;yes
1avaAUcjccXCjSZzwUvB2gS3DzkkieV2Mw8CjdN65uu;Lavarage USDC Leverage;lending;leverage;potential;70205;63165;5.0972;5.0972;1247919870;17775;2.8214;6.0831;2.5947;4.5271;;;;;;;;yes;no
1oopBoJG58DgkUVKkEzKgyG9dvRmpgeEm1AVjoHkF78;Loopscale;lending;modular;both;;;;;;;;;;;179032;8076;282004;2.86;4.32;;;no;yes
22z4B93dSqzBaAkC7GRkihYbW52EpDqHQULWP219W9LR;;;;;294;294;0.1069;0.1069;55048107;187238;1.055;2.239;0.2399;3.527;;;;;;;;yes;no
23YJWaC8AhEufH8eYdPMAouyWEgJ5MQWyvz3z8akTtR6;;;;;3158;3158;0.0158;0.0158;42103528;13332;0.987;0.7549;0.2896;0.987;;;;;;;;yes;no
24Uqj9JCLxUeoC3hGfh5W3s9FM9uCHDS2SG3LYwBpyTi;;;;;4485;4484;0.0662;0.0662;263496335;58751;0.0755;0.4221;0.0707;0.714;;;;;;;;yes;no
25uXrrL4p6xd9Uk6jQPiFQoipg4nH48Jk7RNUGEcqbg8;Keeper Bot (25uXr);trading_bot;keeper;aot;193342;193342;0.9667;0.9667;2537833868;13126;0.3819;0.3809;0.3787;0.3819;;;;;;;;yes;no
268xoH5VPMgtcuaBgXimyRHebsubszqQzPUrU5duJLL8;;;;;1674;72;0.0084;0.0084;5877564;3511;2.2717;2.061;2.2717;2.2717;;;;;;;;yes;no
26DkA98jjctzPkBEteUsN935CR4dsKx3XvjrtE7MeL4a;;;;;12655;12655;0.1266;0.1266;303351283;23971;0.4692;0.4546;0.3307;0.586;;;;;;;;yes;no
2BKVtbJPi42KRjGQ6LmNApvHvXo89PW1iwnMgimhQeyP;;;;;3816;3816;0.0191;0.0191;481265390;126118;0.0367;0.0421;0.0343;0.0498;0;1945;3227;60.27;100.0;;;yes;yes
2DkBHDXSGeDtZMrW1SvFV3pJAEr8LYRN2UjJ89LKGg2P;;;;;202;202;0.0099;0.0099;10154180;50268;0.6373;0.9888;0.4031;1.0096;;;;;;;;yes;no
2K2374VEqxbFJWycxoj8ub2wBk7KwwnNn7M5V7QsL9r2;;;;;6901;6892;0.0572;0.0572;524624558;76022;0.0984;0.2609;0.0892;0.4553;;;;;;;;yes;no
2KehYt3KsEQR53jYcxjbQp2d2kCp4AkuQW68atufRwSr;;;;;148;88;0.0624;0.0624;7331219;49535;11.3903;24.6723;6.2528;29.0896;;;;;;;;yes;no
2LpxztCB9YjLxPwp8XdkYPtEaQBEkB3ejuDbYtHbkEZ8;;;;;2150;2150;0.0215;0.0215;53247215;24766;0.4034;0.4063;0.4034;0.4035;;;;;;;;yes;no
2M5kinPh6R6ow4287N3SLWLx9mWFKpBq1QfnsGGhQ2no;;;;;1937;1936;0.0097;0.0097;56808563;29328;0.1645;0.1738;0.1645;0.1645;;;;;;;;yes;no
2M86GVGn3AHgAX9afQrYeSEETJBs9qmDtxb3f6kEa87H;Trading Bot (2M86G);trading_bot;arbitrage;jit;156895;3519;4.6;4.6;23939117811;152581;0.1048;0.3748;0.078;0.1545;;;;;;;;yes;no
2QKKmkEbkC1rakibHw1A6oRGWabw22W7jr143oVBti78;;;;;20;20;0.0601;0.0601;1205408;60270;54.3734;52.6035;40.4845;64.9505;;;;;;;;yes;no
2RoWfh3xNtwGGpoXmXAWbVgiqqYiNEb9QrPYshQjRDGu;;;;;;;;;;;;;;;10032;133;10165;1.31;1.31;;;no;yes
2VxcbQDXkbaLHzShMsJGieXGTd239FbNseX1Qx6yLW7V;;;;;;;;;;;;;;;938105;12209;950314;1.28;1.28;;;no;yes
2Z2EJavNVHpBgw8gVSdbtZ3E1kseANRrN8z57dE1BnGe;Unknown Bot (2Z2EJ);trading_bot;mev;jit;;;;;;;;;;;1328018;109844;1437862;7.64;7.64;;;no;yes
2bag6xpshpvPe7SJ9nSDLHpxqhEAoHPGpEkjNSv7gxoF;;;;;10567;10453;0.0528;0.0528;56955682;5390;2;1.4941;0.5076;2.0008;;;;;;;;yes;no
2cTqS8AiqcmCQc3VkEadQdGKgZvbNJVamNkEe4Hh9AmW;;;;;;;;;;;;;;;1979;1287;3266;39.41;39.41;;;no;yes
2e4JmcfcGpLgH4wCWzYxnms5DEiMEJeyE2VbpY4HvMVN;;;;;3070;2999;0.0298;0.0298;270888800;88237;0.1102;0.2381;0.0683;0.2088;;;;;;;;yes;no
2o5Mab8XFN4BYcfrquLJaPGyNiFbUgwNKYBmRVn4UTqj;Unknown DeFi (2o5Ma);defi;unknown;potential;160633;160586;0.8033;0.8033;5639152944;35106;0.1511;0.2766;0.1388;0.164;;;;;;;;yes;no
2qGyiNeWyZxNdkvWHc2jT5qkCnYa1j1gDLSSUmyoWMh8;Elixir Program;defi;liquidity;both;152290;152270;0.7615;0.7615;19698155172;129346;0.0482;0.062;0.0459;0.0489;;;;;;;;yes;no
2snGap4Sehqid8zhufpTmGZbPxWsD1c6ab7rcMaocoou;;;;;10;9;0.02;0.02;3206702;320670;5.689;10.8693;5.6867;5.6919;;;;;;;;yes;no
32Jr4JnXWvqq9GqPQynkooHsszaucUUvZfNLh2hdX2L5;;;;;3237;3237;0.0162;0.0162;106946850;33039;0.151;0.1551;0.143;0.1573;;;;;;;;yes;no
3AQz4t3ShixZWw5vhvkAindHhMco3s12gxgvGuMeh2Yg;Trading Bot (3AQz4);trading_bot;arbitrage;jit;850964;75826;4.7217;4.7217;129614912807;152315;0.0582;0.0929;0.0241;0.1516;;;;;;;;yes;no
3Bd9sJ7oUhM3n71CyzFwsFVQW2cnNtLU68aR7kExZT16;;;;;11495;11489;0.0753;0.0753;681042141;59247;0.1463;0.1795;0.0482;0.2291;;;;;;;;yes;no
3HDqMq5DRYffQVX4brSr5gELz5FbCcn8WoZwFa7MJ2sq;;;;;21;19;0.0083;0.0083;7036045;335050;0.0326;1.3927;0.0252;0.0398;;;;;;;;yes;no
3Hm8UuHLTrPFU8tvUYDX8ZkzYRszYbVLEJozTBGsXYDJ;Unknown DeFi (3Hm8U);defi;unknown;potential;93249;92442;0.4663;0.4663;1314692000;14099;1.1605;0.8207;0.1405;1.2086;89;45487;52265;87.03;99.8;232.683700;233.150000;yes;yes
3JewDFh1NBryPrfcxKpepHks4cUyQPZWsf3DoK1r93ou;;;;;1826;1822;0.0091;0.0091;187537647;102704;0.0445;0.0572;0.0391;0.0693;;;;;;;;yes;no
3KHSHFpEK6bsjg3bqcxQ9qssJYtRCMi2S9TYVe4q6CQc;;;;;4762;4756;0.1876;0.1876;62997366;13229;2.724;2.7884;2.414;2.8111;;;;;;;;yes;no
3NJyzGWjSHP4hZvsqakodi7jAtbufwd52vn1ek6EzQ35;;;;;9094;9093;0.0455;0.0455;270313557;29724;0.2104;0.2222;0.1158;0.3363;;;;;;;;yes;no
3RvG4ZaZPX4RvCAxVHjrNc3U8iN18kxc2PGuYcpjvCkd;;;;;;;;;;;;;;;843;424;1267;33.46;33.46;;;no;yes
3SPZe4P7h5Jjn2cuS5WXS2GpnyLHUQPzAxNLXBGuEb3S;Unknown DeFi (3SPZe);defi;unknown;potential;6556;6556;0.0328;0.0328;1091483358;166486;0.03;0.03;0.03;0.03;;;;;;;;yes;no
3Wn9MScovnLzVB4B8DxtchiPrX7jSanSgvUqSQfBM3MW;Trading Bot (3Wn9M);trading_bot;arbitrage;jit;23921;12999;0.6456;0.6456;1092878351;45687;0.4494;12.8571;0.0857;25.0407;;;;;;;;yes;no
3ZZuTbwC6aJbvteyVxXUS7gtFYdf7AuXeitx6VyvjvUp;;;;;8811;8810;0.088;0.088;85194835;9669;1.1338;1.0702;0.9515;1.218;;;;;;;;yes;no
3am45Ut1oBZZU9qKuodfe4Ck1HB4wkAp7bDkonBhbeAe;;;;;124;97;0.009;0.009;7087875;57160;0.0891;1.2683;0.0822;0.1008;;;;;;;;yes;no
3e4dEo9W7dKa2J2YdG9ymYuVSRn9UHnHXo7XiRtbTgXE;;;;;8947;8947;0.0447;0.0447;33264946;3718;1.3448;1.3448;1.3448;1.3448;;;;;;;;yes;no
3efF8Bd4bhnqttRcLhasjbpUmZZ3E6sDh7heZp2fwHUY;;;;;;;;;;;;;;;0;877;877;100.0;100.0;;;no;yes
3ouc9wzhLNDjvoaorLRRcYKHLrmbX6ZMrJedLhnGjWEL;;;;;;;;;;;;;;;68756;6310;75147;8.4;8.41;;;no;yes
3vxKRPwUTiEkeUVyoZ9MXFe1V71sRLbLqu1gRYaWmehQ;;;;;919;919;0.0652;0.0652;57009168;62034;3.8112;2.9924;0.7613;4.1638;;;;;;;;yes;no
3w1ggZZ4hbi5sfLKSvz3pgh6S6nMQBSBtuzCyFHgnbKi;;;;;4882;4882;0.0244;0.0244;125401433;25686;0.1865;0.5822;0.1104;1.4418;;;;;;;;yes;no
42C9thies2WottySPmi2k93Nq2eP7TUtPZxHVAhicxMP;;;;;1959;1340;0.0098;0.0098;34086101;17400;0.6746;0.739;0.3631;1.1652;;;;;;;;yes;no
42y8Bp3NX2CmSF8roUzPPgRXqWcdvssYsd1eprLqB8Eo;;;;;;;;;;;;;;;0;21976;23138;94.98;100.0;;;no;yes
43mTap3FzFV9ks5wEci9QmkFH23BGiiJPXzUyR5Ceot8;;;;;3812;3811;0.0278;0.0278;126464097;33175;0.1755;0.2221;0.1561;0.3032;;;;;;;;yes;no
44gjgndDaSHTAXxXuQYMEJJ4VkoE8b97o6P59Hhv8DB4;;;;;2178;2166;0.0154;0.0154;131245127;60259;0.1135;0.1206;0.1123;0.1301;;;;;;;;yes;no
45DJvdkD7fiTrhsrNxaWd8jAiWJ1G5S98W7n4Wg8gJdW;;;;;2958;1956;0.0221;0.0221;52974520;17909;0.4547;0.6543;0.367;1.2237;;;;;;;;yes;no
45fCmmKfFjZ1bYu7zHyUPYsfPauQAD1RVinUmBp8DbSb;Trading Bot (45fC);trading_bot;arbitrage;jit;727302;236391;19.4858;19.4858;24993658165;34365;0.9065;2.2117;0.3167;3.7657;;;;;;;;yes;no
48EWpApsQihHzvnq8hRrhn51PJWB1r41HmEyfxLWoNNC;;;;;881;881;0.0088;0.0088;97309254;110453;0.0901;0.0907;0.0887;0.0928;;;;;;;;yes;no
4H9AA9ekBHkh7S5nC9PsVdNcG96a3yeVVjisP6sDHGuo;;;;;7874;7874;0.0394;0.0394;2785422;354;14.6433;14.3366;14.2054;14.6433;;;;;;;;yes;no
4R3gSG8BpU4t19KYj8CfnbtRpnT8gtk4dvTHxVRwc2r7;Jito Tip Distribution;mev;tips_distribution;neither;685742;682714;3.4287;3.4287;51995339894;75823;0.0639;0.0715;0.0639;0.0639;;;;;;;;yes;no
4SWuTCPaVVdVCuJCcdkAzWxB7rngbGnCE6QiFbERopH8;;;;;;;;;;;;;;;0;1204;2356;51.1;100.0;;;no;yes
4TGVS3XzavdmjdEU6axw2Wtzc7iV94HoQo55eHteqrd7;Unknown DeFi (4TGVS);defi;unknown;potential;83397;83354;0.417;0.417;1857610452;22274;0.2243;0.2253;0.2239;0.225;;;;;;;;yes;no
4TyRczJ6eu2cv34uQQorQhS1m91PcEBMCRonmYZomiUA;;;;;3492;3491;0.0177;0.0177;82466301;23616;0.2096;0.2298;0.2096;0.2101;;;;;;;;yes;no
4Wbqb1mAPFfR3oQPfyWJ4vsntNECWXMn8aS7LybkwhWo;Unknown DeFi (4Wbqb);defi;unknown;potential;19462;19441;0.0975;0.0975;1105376086;56797;0.18;0.1788;0.0447;0.2128;;;;;;;;yes;no
4XKv23WzTb9ZpwLCxfQ3k2ChFmQwrUuuazpDKq3ikVSJ;;;;;1516;1446;0.0099;0.0099;101307401;66825;0.0941;0.1017;0.0937;0.0943;;;;;;;;yes;no
4a2fybuHumGgi97uxaM58KrgiHtPqHWsZLZgovRxg8Cp;;;;;;;;;;;;;;;0;2352;7943;29.61;100.0;;;no;yes
4bxPFDT8x38u9rrvh8pM4xjdmj1RgusADcoktHMANbFz;;;;;;;;;;;;;;;13579;129;13892;0.93;0.94;;;no;yes
4fTHVZvo3mp9GvJmgYNtepnd2pJbPwfYuiZ7t6M476Uy;;;;;6564;6564;0.0656;0.0656;106543363;16231;0.6284;0.6703;0.5274;0.8163;;;;;;;;yes;no
4fjiA3BqRSYybXfpMuFzGhq5rSMkUPthGqWQEYKKKXkY;;;;;1151;1149;0.011;0.011;45680021;39687;0.2446;0.249;0.2276;0.2634;;;;;;;;yes;no
4kmzZnRhGBr96GD6Gd7w8AYgg8nTqYQcCwVVVZZhxgTN;;;;;;;;;;;;;;;32545;1858;34507;5.38;5.4;;;no;yes
4mtdvZoV3bccQzx6HgGG3XYfffxMaTrHRPL8KqnTM243;;;;;30110;30094;0.1507;0.1507;211638513;7029;0.7128;0.7165;0.6565;0.775;;;;;;;;yes;no
4pjbtQCpaXFrmT7wcfuCQnAWLCUhRuK9CKQyvou1F5xo;Luck.io Program;gambling;casino;potential;1856735;1856734;37.1347;37.1347;289684186937;156018;0.1593;0.137;0.1009;0.1682;;;;;;;;yes;no
57GQDhcco4bv4Ngcg7gc6huEYepnGU4PZAGHQCFJmjNW;;;;;2656;2651;0.0137;0.0137;168800723;63554;0.0768;0.0915;0.0747;0.0784;;;;;;;;yes;no
59ZAKGD6vibQB3BHMt3Raf3FrDsjwTw8AzMHJGAerjrh;;;;;;;;;;;;;;;7664;1921;10116;18.99;20.04;;;no;yes
5HNxbq5TiMM8YgMHNtLzkMvR6YtJSfkTn857i52aRi1p;;;;;17;17;0.0341;0.0341;4425417;260319;7.7064;7.7021;7.7003;7.7065;;;;;;;;yes;no
5bsFrMYiXMEEkVny2x37J1kK3U6h6RbtYGqxNAAFeSV7;Trading Bot (5bsFr);trading_bot;arbitrage;jit;64913;10972;2.0155;2.0155;9753688773;150258;0.0793;0.2473;0.056;0.1277;;;;;;;;yes;no
5e8WewiqFEkSHQojtdCHMuuEQ6K7x3QWax5fpNMiH7KX;;;;;3923;3921;0.0272;0.0272;213964254;54541;0.2128;0.2275;0.0578;0.3335;;;;;;;;yes;no
5f6jnqJUNkUvWvwuqvTvmbQS1REjSsgTtZ75KercWNnG;;;;;1640;1640;0.0082;0.0082;247799020;151097;0.0331;0.0331;0.0331;0.0331;;;;;;;;yes;no
5hdrbhMZ7qhAu4Jk7DriTQfrx4UC58cLnQ7MANKp2CoK;;;;;344;332;0.0623;0.0623;11393985;33122;0.2917;4.5868;0.13;14.4754;;;;;;;;yes;no
5iF614oQbNriGr34jXMgKC2TUSxGFoqhYVipbn8awvyr;;;;;2775;2473;0.0871;0.0871;446950281;161063;0.2569;0.9559;0.0836;0.3435;;;;;;;;yes;no
5ifgd2hU3y8k1EhuEW2DZRTkFGHCZ3WHsQ1JHL5MCvxZ;Unknown DeFi (5ifgd);defi;unknown;potential;81220;81220;0.4061;0.4061;3563992412;43881;0.1161;0.1142;0.1118;0.1181;0;6316;6322;99.91;100.0;;;yes;yes
5kSXmrbPRwt5vSytzpakADk51QbWgpixnfA1fBcygx91;;;;;;;;;;;;;;;8116;4527;12655;35.77;35.81;;;no;yes
5noZYmNbF6Y9btiFijLtacZTdLTNCoZ5yfbPKamHzTqA;;;;;29088;29088;0.1454;0.1454;578107050;19874;0.2522;0.252;0.2522;0.2522;;;;;;;;yes;no
5tLEJ7TDNdCkoHBEQWYkkiaevrAVdhiJzcmTUEcaTu9;;;;;7;7;0.014;0.014;1766640;252377;7.9445;7.9445;7.9445;7.9445;;;;;;;;yes;no
65VKabrEQy6UDtcrZKmRGpizaZWw3aANKV5XMb3geJng;Unknown DeFi (65VKa);defi;unknown;potential;70272;66118;0.3514;0.3514;2451230621;34882;0.146;0.1439;0.1402;0.1498;10038;1942;11980;16.21;16.21;0.067982;0.419382;yes;yes
675kPX9MHTjS2zt1qfr1NYHuzeLXfQM9H24wFSUt1Mp8;Raydium V4;dex;amm;both;302723;296203;18.4512;18.4512;8653898172;28587;0.1778;2.1551;0.1778;0.1784;126968;24697;651427;3.79;16.28;3.587978;22.039178;yes;yes
6AETLuHNcxjXRotZvSJJJo49hq4uY9f1Cxc9GMGxf1Tg;;;;;;;;;;;;;;;0;7734;9278;83.36;100.0;;;no;yes
6AXRaajKYrh6Q4tKkeD8hXB7D4uUr91wXjhYYHULeLZU;;;;;192;20;0.0827;0.0827;20158122;104990;4.4205;4.559;4.4118;4.4516;;;;;;;;yes;no
6EF8rrecthR5Dkzon8Nwu78hRvfCKubJ14M5uBEwF6P;Pump.fun;dex;bonding_curve;potential;4737978;3216517;121.4407;121.4407;305693802021;64520;0.1667;0.5736;0.0964;0.5969;9899794;248916;14287626;1.74;2.45;3.050023;124.490723;yes;yes
6LtLpnUFNByNXLyCoK9wA2MykKAmQNZKBdY8s47dehDc;;;;;1602;1527;0.0637;0.0637;811067108;506284;0.0312;0.2161;0.0234;0.0739;;;;;;;;yes;no
6QwqgT13oVGhFkMhJwRV6f6nQq52Duy2HqovtiMHaNgs;;;;;7664;7649;0.0407;0.0407;165766687;21629;0.2719;0.2561;0.2668;0.2744;;;;;;;;yes;no
6WPHMhYD7JLAF1HEtC6Ddkn93ADbGtyC93HUh7wy75m2;Keeper Bot (6WPHMh);trading_bot;keeper;aot;301872;301871;1.5094;1.5094;4221721477;13985;0.3701;0.3675;0.3701;0.3701;;;;;;;;yes;no
6YRZW57XsrT2DxSNLXHHQd4QmiqBode4d6btASkRqcFo;;;;;1388;1388;0.0351;0.0351;52601793;37898;0.6663;0.6678;0.66;0.6711;;;;;;;;yes;no
6bES2dKy1ee13HQ4uW4ycw4Kw4od9ziZeWMyAxVySYEd;;;;;6193;6148;0.0311;0.0311;182813361;29519;0.1664;0.1762;0.1512;0.2051;;;;;;;;yes;no
6ia4ftDBGF74eiuQY5YhWqK9A3ffdwqbQdaeLprqnMxm;;;;;;;;;;;;;;;0;1406;2423;58.03;100.0;;;no;yes
6jMi2CRpAA6uah3qzPpCR8SL8MsuAsB9MtCTKkufXkw2;;;;;1176;1093;0.0278;0.0278;102154350;86866;0.0545;0.3558;0.0535;0.0554;42;1608;2287;70.31;97.45;1.062396;1.090196;yes;yes
6k9DQREaFRtefjzMt98tKSVcNUnxLDxma7avzu739q4H;;;;;4386;4385;0.0219;0.0219;96623060;22030;0.2797;0.3104;0.1583;0.525;;;;;;;;yes;no
6m2CDdhRgxpH4WjvdzxAYbGxwdGUz5MziiL5jek2kBma;OKX DEX V2;infrastructure;exchange;neither;;;;;;;;;;;228544;0;237262;0.0;0.0;;;no;yes
6m9TTqMk9RoJxNjGMrTeNAmjewMWfmk2gRYubPDE8x6k;Trading Bot (6m9TT);trading_bot;arbitrage;jit;544373;138811;8.3329;8.3329;84162467740;154604;0.0817;0.1278;0.0686;0.1109;;;;;;;;yes;no
6sbWW8qnrXoNXVMcTGLBQJefuaNcJsuqxztXUegHi4Wq;Unknown Bot (6sbWW);trading_bot;keeper;aot;118644;118358;1.1731;1.1731;1091960971;9204;1.1621;1.2444;0.945;1.2123;;;;;;;;yes;no
6xw9f54fZrCFyhRtNBfA9tzuvwzUfe4DUw33JD1uyyfd;;;;;29646;29646;0.1482;0.1482;46988910;1585;3.1546;3.1546;3.1546;3.1546;;;;;;;;yes;no
6yQ7xPWfRhzNJJLMLyRHXFWVNYPaihaJtMgmXBgFyAdx;;;;;227;223;0.0743;0.0743;8989137;39600;13.6502;8.0121;0.1263;15.1032;;;;;;;;yes;no
741nYipMruTkSC2N1F38yXfMWTDywSCAAhddpXmw6KiX;Unknown DeFi (741nY);defi;unknown;potential;19346;19346;0.0967;0.0967;1577896464;81562;0.0628;0.0667;0.0572;0.0629;;;;;;;;yes;no
79NiGoTLeZUH5YUVDJmyiqFHwDUJFUxSpFxbQpacx7RZ;Unknown DeFi (79NiG);defi;unknown;potential;35432;35169;0.2407;0.2407;1287270707;36331;0.2425;0.2793;0.0929;0.3054;;;;;;;;yes;no
7FaMyGiTVdjm8dd3PxpjjCX15ibbmuE1zWVFX2PHxYUK;Unknown DeFi (7FaMy);defi;unknown;potential;239435;238831;1.1972;1.1972;9225221434;38529;0.2169;0.1886;0.0773;0.2718;;;;;;;;yes;no
7GqLmFAG4j3fzXhPGhGHaYPKD6BWCtfj9Mog8p8Xqwqrjqmo;;;;;;;;;;;;;;;51869;966;52835;1.83;1.83;;;no;yes
7HR9iN2G7EGjKWgryHWahseUMwygKdVzKHm8LBaSbLoe;;;;;;;;;;;;;;;0;450;1163;38.69;100.0;;;no;yes
7SyiQ664tWYCyWyKDftkfLspE85pJrUR4kJQwb6brYb9;Keeper Bot (7SyiQ);trading_bot;keeper;aot;467511;467511;4.7436;4.7436;1172632195;2508;4.1135;4.0951;4.1135;4.1135;0;12140;145024;8.37;100.0;;;yes;yes
7TAvuPyU7cDMhhfXs1yCDZPEEbPuynd7zVeUtQLjfLmZ;Trading Bot (7TAvuP);trading_bot;mev;jit;12155;8478;2.833;2.833;1758721166;144691;0.9542;2.9357;0.3627;3.0346;;;;;;;;yes;no
7XC2zbahfy2ojcEtewCXEqqbHiEijwfXoMDUsL2mHt6L;;;;;;;;;;;;;;;162717;103738;266467;38.93;38.93;;;no;yes
7bgvkyKyHvgHdNCTKhheHBYCnvu7BQsBKHAGWNX2jk7D;Arbitrage Bot (7bgvk);trading_bot;arbitrage;jit;;;;;;;;;;;1613383;387;1614170;0.02;0.02;;;no;yes
7dNDKN621rXdL1Zec3UZB6VbaKsJ98Gi7g6cpPyTRCVY;;;;;;;;;;;;;;;0;4884;9598;50.89;100.0;;;no;yes
7k2GqkxfcfTicAosECH2gxytXpG1xCXLMk4TEPCaukLy;;;;;;;;;;;;;;;0;1224;1302;94.01;100.0;;;no;yes
7mSqZcYPUGm99M6sGpNRHjorbB1NPF3ThyTpEjhkKzKF;;;;;3402;3402;0.017;0.017;65994553;19399;0.2541;0.2866;0.2405;0.2571;;;;;;;;yes;no
7pz2QJ8RV11pKiKGmCFRonqFnz8UEj7ZJrFdKUA5K1Cp;;;;;30249;30220;0.3025;0.3025;550760255;18208;0.5739;0.5962;0.4228;0.7662;;;;;;;;yes;no
7szZ58G7rZwQ578LZ9sk7kRT2XAnNCQR6NdcyURAMnGr;;;;;;;;;;;;;;;0;401;418;95.93;100.0;;;no;yes
7vWTrZc7uprTwqvynFafKPb8sgJqGE1vQguvmowRX2fx;;;;;;;;;;;;;;;0;1016;1018;99.8;100.0;;;no;yes
7wuFcHkbVckS6nMqZ5pg6ykmw5uWTqzvqK1gdb8xGdp4;Unknown DeFi (7wuFc);defi;unknown;potential;19340;19249;0.7371;0.7371;1578897947;81639;0.14;0.2441;0.1391;0.1427;;;;;;;;yes;no
7xiamgXLjjKPsAJMWq7UHCyjJWCgqY4oBXTieqzd8Te1;Unknown DeFi (7xiam);defi;unknown;potential;261773;261773;1.3089;1.3089;26098443244;99699;0.0442;0.0662;0.0419;0.0559;;;;;;;;yes;no
85iDfUvr3HJyLM2zcq5BXSiDvUWfw6cSE1FfNBo8Ap29;;;;;22542;22541;0.1127;0.1127;958094359;42503;0.2382;0.2023;0.0884;0.2712;;;;;;;;yes;no
8SDTDjFz1HmP7qzUZE6QaBuUqQ2eHwXabHJQwqDQok48;;;;;9117;9108;0.0475;0.0475;464626643;50963;0.1139;0.1373;0.0772;0.1375;13272;2053;20453;10.04;13.4;0.007350;0.054850;yes;yes
8Ue7UGaqgk9GR3YphyDMe9TX4rdUqsbVXfPcFbzM5LDE;Arbitrage Bot (8Ue7U);trading_bot;arbitrage;jit;7640868;21375;65.7464;65.7464;2818079918736;368817;0.02;0.0334;0.0137;0.039;;;;;;;;yes;no
8VWm29HWNAftJJnGpL7rqVcyShbB1TSZmweaMec7V7no;;;;;5219;4822;0.0261;0.0261;97663923;18713;0.2538;0.3182;0.2279;0.3339;;;;;;;;yes;no
8Ynw96G4yZQJ1NUX2ZKYmQkkmgXEAeGfkGrahGnWwtxM;;;;;15153;15153;0.0758;0.0758;259029957;17094;0.2939;0.2928;0.2939;0.2939;;;;;;;;yes;no
8aquaCPqbpsWvHdpfhTgfBg8eJWqNZKQgyYzzFXCdRkH;Aqua Protocol;defi;vault;potential;163323;163323;0.8168;0.8168;22288644663;136470;0.041;0.0446;0.028;0.0574;46422;12095;90579;13.35;20.67;0.212823;1.029623;yes;yes
8cRoD59SHLfJee9E2HV9VpneWaYwHFnTT2PPuYRHd2Jt;;;;;;;;;;;;;;;936;648;1584;40.91;40.91;;;no;yes
8hNZpgaL74ozyYhKeFuipGioaoRRKKvS7oMjFBDATmzf;;;;;9503;9503;0.095;0.095;206243665;21703;0.5205;0.491;0.3713;0.5893;;;;;;;;yes;no
8jaLKWLJAj5jVCZbxpe3zRUvLB3LD48MRtaQ2AjfCfxa;Trading Bot (8jaL);trading_bot;arbitrage;jit;1488372;1473963;7.4447;7.4447;112167200401;75362;0.066;0.078;0.0599;0.0731;;;;;;;;yes;no
8kJBErpatzi1AapVvF1AfwspAJ3k611WdQqE48JmVxAv;Unknown DeFi (8kJBE);defi;unknown;potential;14142;14051;0.1419;0.1419;1682363503;118962;0.0843;0.0853;0.0809;0.0873;;;;;;;;yes;no
8oW6xW4TLvPgC7qgoo4MH8Qjhvif5mVevVKbFkXoqUM8;;;;;;;;;;;;;;;0;333;884;37.67;100.0;;;no;yes
8p6MKtMGGugZMy2HGXtL3uBb11y7xuzXmbMbQgNmWVUQ;;;;;5937;4417;0.0298;0.0298;138546966;23336;0.1954;0.2957;0.1647;0.4473;;;;;;;;yes;no
